trading_date,ticker,company,predicted_signal,confidence_percentage,close_price,volume,rsi,buy_probability,sell_probability,sma_20,ema_20,macd_trend,trend_direction,price_vs_sma20_pct,atr_percentage,risk_level,action_recommendation
2026-01-22,KALYANKJIL.NS,Kalyan Jewellers India Limited,Buy,95.26899491901997,373.55,18016748,16.135293686850545,0.9526899491901998,0.04731005080980128,478.695,465.9185342910797,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-22,KALYANKJIL.NS,Kalyan Jewellers India Limited,Buy,95.26899491901997,373.55,18016748,16.135293686850545,0.9526899491901998,0.04731005080980128,478.695,465.9185342910797,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-22,KALYANKJIL.NS,Kalyan Jewellers India Limited,Buy,95.26899491901997,373.55,18016748,16.135293686850545,0.9526899491901998,0.04731005080980128,478.695,465.9185342910797,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-22,KALYANKJIL.NS,Kalyan Jewellers India Limited,Buy,95.26899491901997,373.55,18016748,16.135293686850545,0.9526899491901998,0.04731005080980128,478.695,465.9185342910797,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-22,KALYANKJIL.NS,Kalyan Jewellers India Limited,Buy,95.26899491901997,373.55,18016748,16.135293686850545,0.9526899491901998,0.04731005080980128,478.695,465.9185342910797,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-22,KALYANKJIL.NS,Kalyan Jewellers India Limited,Buy,95.26899491901997,373.55,18016748,16.135293686850545,0.9526899491901998,0.04731005080980128,478.695,465.9185342910797,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-22,KALYANKJIL.NS,Kalyan Jewellers India Limited,Buy,95.26899491901997,373.55,18016748,16.135293686850545,0.9526899491901998,0.04731005080980128,478.695,465.9185342910797,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-22,KALYANKJIL.NS,Kalyan Jewellers India Limited,Buy,95.26899491901997,373.55,18016748,16.135293686850545,0.9526899491901998,0.04731005080980128,478.695,465.9185342910797,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-22,KALYANKJIL.NS,Kalyan Jewellers India Limited,Buy,95.26899491901997,373.55,18016748,16.135293686850545,0.9526899491901998,0.04731005080980128,478.695,465.9185342910797,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-22,UBL.NS,United Breweries Limited,Buy,95.2137681951566,1443.6,162520,9.740684588670675,0.952137681951566,0.04786231804843417,1555.1700061035158,1540.596175981955,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,UBL.NS,United Breweries Limited,Buy,95.2137681951566,1443.6,162520,9.740684588670675,0.952137681951566,0.04786231804843417,1555.1700061035158,1540.596175981955,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,UBL.NS,United Breweries Limited,Buy,95.2137681951566,1443.6,162520,9.740684588670675,0.952137681951566,0.04786231804843417,1555.1700061035158,1540.596175981955,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,UBL.NS,United Breweries Limited,Buy,95.2137681951566,1443.6,162520,9.740684588670675,0.952137681951566,0.04786231804843417,1555.1700061035158,1540.596175981955,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,UBL.NS,United Breweries Limited,Buy,95.2137681951566,1443.6,162520,9.740684588670675,0.952137681951566,0.04786231804843417,1555.1700061035158,1540.596175981955,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,UBL.NS,United Breweries Limited,Buy,95.2137681951566,1443.6,162520,9.740684588670675,0.952137681951566,0.04786231804843417,1555.1700061035158,1540.596175981955,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,UBL.NS,United Breweries Limited,Buy,95.2137681951566,1443.6,162520,9.740684588670675,0.952137681951566,0.04786231804843417,1555.1700061035158,1540.596175981955,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,UBL.NS,United Breweries Limited,Buy,95.2137681951566,1443.6,162520,9.740684588670675,0.952137681951566,0.04786231804843417,1555.1700061035158,1540.596175981955,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,UBL.NS,United Breweries Limited,Buy,95.2137681951566,1443.6,162520,9.740684588670675,0.952137681951566,0.04786231804843417,1555.1700061035158,1540.596175981955,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,MAPMYINDIA.NS,C. E. Info Systems Limited,Buy,95.14075737731528,1346.0,47887,11.576676697346471,0.9514075737731528,0.04859242622684712,1585.1350048828124,1535.0020887337255,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,MAPMYINDIA.NS,C. E. Info Systems Limited,Buy,95.14075737731528,1346.0,47887,11.576676697346471,0.9514075737731528,0.04859242622684712,1585.1350048828124,1535.0020887337255,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,MAPMYINDIA.NS,C. E. Info Systems Limited,Buy,95.14075737731528,1346.0,47887,11.576676697346471,0.9514075737731528,0.04859242622684712,1585.1350048828124,1535.0020887337255,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,MAPMYINDIA.NS,C. E. Info Systems Limited,Buy,95.14075737731528,1346.0,47887,11.576676697346471,0.9514075737731528,0.04859242622684712,1585.1350048828124,1535.0020887337255,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,MAPMYINDIA.NS,C. E. Info Systems Limited,Buy,95.14075737731528,1346.0,47887,11.576676697346471,0.9514075737731528,0.04859242622684712,1585.1350048828124,1535.0020887337255,,Downtrend,,,Oversold Opportunity,Strong Buy
